fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,fg2,fga2,fg2_pct,result
49,102,0.48,28,52,0.538,10,11,0.909,10,40,50,30,8,6,13,20,21,50,0.42,1
39,89,0.438,13,34,0.382,15,19,0.789,8,37,45,21,8,8,17,13,26,55,0.4727272727272727,0
52,93,0.559,15,30,0.5,14,18,0.778,10,43,53,37,11,11,11,16,37,63,0.5873015873015873,1
37,89,0.416,13,37,0.351,15,22,0.682,10,32,42,28,8,7,15,13,24,52,0.46153846153846156,0
45,99,0.455,15,36,0.417,15,17,0.882,11,28,39,21,12,5,8,18,30,63,0.47619047619047616,0
45,79,0.57,13,31,0.419,21,26,0.808,6,38,44,25,6,4,17,17,32,48,0.6666666666666666,1
39,84,0.464,13,34,0.382,20,27,0.741,12,39,51,16,3,4,16,20,26,50,0.52,1
38,83,0.458,15,37,0.405,16,23,0.696,6,30,36,30,9,4,11,23,23,46,0.5,0
42,93,0.452,9,25,0.36,23,24,0.958,10,26,36,27,11,7,16,22,33,68,0.4852941176470588,0
49,82,0.598,16,29,0.552,20,29,0.69,9,33,42,30,8,8,18,19,33,53,0.6226415094339622,1
40,83,0.482,20,45,0.444,23,25,0.92,6,34,40,32,14,4,11,18,20,38,0.5263157894736842,1
41,89,0.461,14,38,0.368,12,14,0.857,9,37,46,24,4,4,17,22,27,51,0.5294117647058824,0
39,93,0.419,9,27,0.333,18,20,0.9,12,34,46,18,7,5,15,21,30,66,0.45454545454545453,0
38,82,0.463,16,42,0.381,25,29,0.862,8,36,44,23,9,6,13,17,22,40,0.55,1
44,95,0.463,21,46,0.457,23,23,1.0,14,30,44,19,6,1,9,19,23,49,0.46938775510204084,1
46,83,0.554,16,40,0.4,13,17,0.765,6,33,39,32,2,5,14,21,30,43,0.6976744186046512,0
43,93,0.462,13,40,0.325,23,25,0.92,13,32,45,27,8,7,10,19,30,53,0.5660377358490566,1
45,90,0.5,14,38,0.368,12,17,0.706,13,33,46,31,6,4,16,20,31,52,0.5961538461538461,0
43,89,0.483,11,22,0.5,10,15,0.667,11,36,47,19,5,4,17,18,32,67,0.47761194029850745,1
43,88,0.489,6,36,0.167,11,16,0.688,6,32,38,25,11,3,9,14,37,52,0.7115384615384616,0
41,79,0.519,10,24,0.417,26,32,0.813,10,30,40,23,9,6,19,21,31,55,0.5636363636363636,1
39,87,0.448,14,37,0.378,19,23,0.826,10,27,37,28,5,4,19,22,25,50,0.5,0
44,79,0.557,20,34,0.588,13,17,0.765,8,38,46,22,4,6,16,20,24,45,0.5333333333333333,1
41,92,0.446,4,10,0.4,13,17,0.765,11,26,37,21,8,6,8,14,37,82,0.45121951219512196,0
35,84,0.417,15,37,0.405,18,25,0.72,14,35,49,20,6,5,17,17,20,47,0.425531914893617,1
36,83,0.434,12,35,0.343,16,22,0.727,9,35,44,24,11,2,16,21,24,48,0.5,0
43,95,0.453,11,34,0.324,13,15,0.867,8,38,46,28,7,6,14,13,32,61,0.5245901639344263,0
48,102,0.471,21,48,0.438,13,14,0.929,11,42,53,33,13,7,13,11,27,54,0.5,1
38,82,0.463,8,35,0.229,17,20,0.85,11,28,39,26,3,6,15,18,30,47,0.6382978723404256,0
46,90,0.511,14,33,0.424,17,21,0.81,12,32,44,30,7,3,7,20,32,57,0.5614035087719298,1
33,86,0.384,12,46,0.261,9,13,0.692,5,36,41,21,11,4,21,18,21,40,0.525,0
36,83,0.434,10,33,0.303,22,26,0.846,5,46,51,19,13,5,21,14,26,50,0.52,1
39,86,0.453,11,33,0.333,22,29,0.759,11,34,45,28,9,3,13,21,28,53,0.5283018867924528,0
42,92,0.457,13,37,0.351,19,23,0.826,12,32,44,23,7,2,11,19,29,55,0.5272727272727272,1
43,94,0.457,13,33,0.394,9,11,0.818,9,40,49,22,6,9,10,21,30,61,0.4918032786885246,0
43,96,0.448,7,26,0.269,18,24,0.75,7,38,45,28,5,6,7,13,36,70,0.5142857142857142,1
44,91,0.484,13,27,0.481,11,13,0.846,12,40,52,19,7,4,14,20,31,64,0.484375,1
32,98,0.327,9,31,0.29,18,19,0.947,18,31,49,19,8,1,11,15,23,67,0.34328358208955223,0
51,89,0.573,22,43,0.512,23,27,0.852,4,41,45,37,6,6,10,19,29,46,0.6304347826086957,1
38,92,0.413,20,50,0.4,20,23,0.87,10,32,42,26,2,3,10,24,18,42,0.42857142857142855,0
