fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,fg2,fga2,fg2_pct,result
49,93,0.527,5,20,0.25,8,16,0.5,11,33,44,23,9,4,15,16,44,73,0.602739726,0
42,95,0.442,13,35,0.371,22,27,0.815,16,34,50,24,10,4,7,20,29,60,0.483333333,1
41,87,0.471,17,43,0.395,19,25,0.76,10,36,46,26,5,10,14,20,24,44,0.545454545,0
40,91,0.44,15,31,0.484,14,24,0.583,6,30,36,21,11,4,10,22,25,60,0.416666667,1
36,94,0.383,9,37,0.243,22,27,0.815,20,45,65,23,6,6,18,20,27,57,0.473684211,0
35,76,0.461,9,29,0.31,21,29,0.724,12,39,51,22,9,3,17,19,26,47,0.553191489,1
35,84,0.417,10,38,0.263,12,14,0.857,9,26,35,22,7,1,15,23,25,46,0.543478261,0
39,89,0.438,12,39,0.308,22,27,0.815,12,30,42,22,11,5,15,23,27,50,0.54,1
35,85,0.412,10,32,0.313,24,29,0.828,12,35,47,17,5,3,19,24,25,53,0.471698113,0
34,91,0.374,11,36,0.306,21,30,0.7,13,37,50,23,8,3,12,17,23,55,0.418181818,0
37,82,0.451,15,34,0.441,17,21,0.81,7,45,52,23,7,4,17,23,22,48,0.458333333,1
38,78,0.487,15,33,0.455,9,11,0.818,7,30,37,26,6,5,19,15,23,45,0.511111111,0
45,88,0.511,15,39,0.385,14,20,0.7,12,31,43,25,12,7,9,18,30,49,0.612244898,1
43,85,0.506,14,35,0.4,23,30,0.767,10,40,50,29,8,4,10,23,29,50,0.58,1
34,91,0.374,11,48,0.229,25,28,0.893,15,30,45,25,6,5,11,24,23,43,0.534883721,0
45,86,0.523,8,22,0.364,22,28,0.786,10,37,47,26,4,2,15,23,37,64,0.578125,1
43,97,0.443,12,39,0.308,17,25,0.68,13,31,44,22,7,0,10,23,31,58,0.534482759,0
34,80,0.425,8,28,0.286,20,22,0.909,8,33,41,17,10,7,21,22,26,52,0.5,0
42,80,0.525,15,38,0.395,17,24,0.708,4,37,41,32,7,5,16,21,27,42,0.642857143,1
44,96,0.458,15,35,0.429,10,12,0.833,8,32,40,26,12,6,14,22,29,61,0.475409836,0
42,84,0.5,17,36,0.472,17,22,0.773,7,39,46,27,5,6,22,16,25,48,0.520833333,1
42,95,0.442,15,37,0.405,25,29,0.862,9,43,52,20,5,4,12,21,27,58,0.465517241,1
42,104,0.404,13,46,0.283,19,24,0.792,14,38,52,25,3,5,11,25,29,58,0.5,0
47,89,0.528,14,30,0.467,18,21,0.857,11,23,34,25,8,4,10,20,33,59,0.559322034,1
42,82,0.512,9,29,0.31,20,26,0.769,11,29,40,25,6,3,15,20,33,53,0.622641509,0
34,95,0.358,11,45,0.244,14,19,0.737,9,35,44,16,7,1,9,18,23,50,0.46,0
42,87,0.483,15,36,0.417,15,17,0.882,10,46,56,23,5,6,16,18,27,51,0.529411765,1
33,74,0.446,15,42,0.357,20,29,0.69,4,36,40,25,6,2,21,25,18,32,0.5625,0
38,93,0.409,18,55,0.327,19,21,0.905,15,37,52,24,10,7,18,26,20,38,0.526315789,1
36,84,0.429,7,31,0.226,23,36,0.639,13,32,45,23,5,3,19,23,29,53,0.547169811,0
44,96,0.458,12,29,0.414,27,32,0.844,12,40,52,33,13,2,11,26,32,67,0.47761194,1
39,86,0.453,15,47,0.319,17,20,0.85,7,36,43,19,11,8,10,15,24,39,0.615384615,1
37,82,0.451,15,36,0.417,15,22,0.682,4,39,43,21,7,4,13,18,22,46,0.47826087,0
39,93,0.419,12,40,0.3,16,21,0.762,12,37,49,26,11,11,10,16,27,53,0.509433962,1
38,93,0.409,15,42,0.357,8,10,0.8,10,41,51,23,5,1,15,19,23,51,0.450980392,0
44,94,0.468,12,38,0.316,21,25,0.84,13,30,43,27,9,1,15,26,32,56,0.571428571,0
45,86,0.523,12,33,0.364,23,34,0.676,14,29,43,21,4,4,14,21,33,53,0.622641509,1
45,88,0.511,12,26,0.462,22,24,0.917,8,36,44,26,10,5,11,11,33,62,0.532258065,1
43,100,0.43,12,33,0.364,8,10,0.8,15,29,44,27,8,4,12,16,31,67,0.462686567,0
45,100,0.45,11,35,0.314,14,19,0.737,15,30,45,24,8,6,12,20,34,65,0.523076923,0
49,88,0.557,23,40,0.575,12,15,0.8,7,37,44,32,5,7,16,21,26,48,0.541666667,1
46,73,0.63,16,33,0.485,12,20,0.6,5,39,44,24,3,7,22,14,30,40,0.75,1
40,92,0.435,17,47,0.362,12,14,0.857,9,22,31,24,9,2,8,19,23,45,0.511111111,0
36,86,0.419,13,38,0.342,18,23,0.783,7,30,37,23,7,2,10,13,23,48,0.479166667,0
47,87,0.54,12,37,0.324,12,16,0.75,11,37,48,31,8,5,15,19,35,50,0.7,1
37,89,0.416,7,30,0.233,16,22,0.727,13,28,41,17,8,3,11,18,30,59,0.508474576,0
47,97,0.485,11,39,0.282,9,11,0.818,17,36,53,31,6,4,13,19,36,58,0.620689655,1
33,90,0.367,8,33,0.242,22,26,0.846,13,39,52,17,8,4,15,19,25,57,0.438596491,0
39,91,0.429,11,38,0.289,18,19,0.947,11,43,54,26,9,4,15,27,28,53,0.528301887,1
54,120,0.45,14,45,0.311,19,29,0.655,16,40,56,32,11,4,15,26,40,75,0.533333333,1
51,102,0.5,15,44,0.341,20,28,0.714,9,42,51,32,9,6,19,27,36,58,0.620689655,0
52,89,0.584,13,27,0.481,15,21,0.714,9,40,49,33,8,5,12,15,39,62,0.629032258,1
37,91,0.407,12,38,0.316,14,19,0.737,10,26,36,27,8,7,13,19,25,53,0.471698113,0
44,79,0.557,13,28,0.464,17,21,0.81,1,34,35,28,10,2,11,19,31,51,0.607843137,1
34,92,0.37,12,39,0.308,17,22,0.773,17,34,51,13,7,1,16,20,22,53,0.41509434,0
38,79,0.481,10,29,0.345,15,15,1,5,38,43,17,2,12,15,15,28,50,0.56,1
38,94,0.404,11,33,0.333,12,14,0.857,10,31,41,23,7,4,10,15,27,61,0.442622951,0
48,86,0.558,17,34,0.5,10,16,0.625,6,41,47,32,11,1,14,24,31,52,0.596153846,1
30,80,0.375,7,32,0.219,21,30,0.7,5,31,36,18,7,5,15,16,23,48,0.479166667,0
34,92,0.37,10,34,0.294,10,15,0.667,12,39,51,20,4,8,11,20,24,58,0.413793103,0
38,87,0.437,6,24,0.25,14,19,0.737,8,45,53,21,7,6,11,15,32,63,0.507936508,1
38,89,0.427,11,27,0.407,11,13,0.846,6,33,39,27,8,4,14,21,27,62,0.435483871,1
36,80,0.45,13,33,0.394,12,18,0.667,9,34,43,17,6,8,18,22,23,47,0.489361702,0
36,82,0.439,11,29,0.379,16,22,0.727,8,42,50,20,4,3,10,17,25,53,0.471698113,1
33,93,0.355,9,37,0.243,15,20,0.75,13,39,52,18,8,6,7,17,24,56,0.428571429,0
41,92,0.446,13,38,0.342,18,21,0.857,11,30,41,17,11,1,13,17,28,54,0.518518519,1
42,84,0.5,7,23,0.304,16,21,0.762,10,37,47,25,7,5,20,15,35,61,0.573770492,0
37,86,0.43,14,40,0.35,19,22,0.864,9,27,36,23,13,1,10,19,23,46,0.5,1
