fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,fg2,fga2,fg2_pct,result
37,88,0.42,11,38,0.289,16,21,0.762,16,34,50,17,9,5,19,22,26,50,0.52,0
47,102,0.461,8,25,0.32,15,21,0.714,11,40,51,35,10,5,14,20,39,77,0.5064935064935064,0
45,98,0.459,10,36,0.278,20,23,0.87,11,45,56,30,6,8,18,17,35,62,0.5645161290322581,1
41,86,0.477,13,36,0.361,12,14,0.857,4,35,39,29,4,3,12,18,28,50,0.56,0
44,89,0.494,11,34,0.324,11,13,0.846,9,37,46,27,5,5,11,20,33,55,0.6,1
33,79,0.418,11,31,0.355,14,15,0.933,2,33,35,18,7,3,21,22,22,48,0.4583333333333333,0
43,92,0.467,10,38,0.263,20,24,0.833,15,37,52,24,17,5,16,16,33,54,0.6111111111111112,1
44,107,0.411,12,34,0.353,12,16,0.75,17,34,51,28,11,4,9,18,32,73,0.4383561643835616,1
37,90,0.411,10,36,0.278,15,20,0.75,12,40,52,23,3,9,17,19,27,54,0.5,0
45,78,0.577,5,21,0.238,26,32,0.813,7,36,43,27,4,9,8,18,40,57,0.7017543859649122,1
39,84,0.464,19,36,0.528,14,20,0.7,6,26,32,25,3,1,8,25,20,48,0.4166666666666667,0
38,83,0.458,13,28,0.464,22,27,0.815,10,36,46,28,7,5,15,19,25,55,0.45454545454545453,1
36,89,0.404,13,33,0.394,21,26,0.808,16,30,46,27,5,3,20,17,23,56,0.4107142857142857,0
57,106,0.538,14,33,0.424,15,16,0.938,9,41,50,31,16,6,11,17,43,73,0.589041095890411,1
37,94,0.394,14,43,0.326,12,14,0.857,13,33,46,29,3,6,23,20,23,51,0.45098039215686275,0
45,84,0.536,18,31,0.581,14,16,0.875,8,39,47,32,5,2,20,15,27,53,0.5094339622641509,1
45,93,0.484,6,29,0.207,14,19,0.737,10,30,40,19,9,5,10,19,39,64,0.609375,0
50,97,0.515,19,43,0.442,10,15,0.667,9,26,35,31,5,3,14,32,31,54,0.5740740740740741,0
42,78,0.538,13,30,0.433,33,46,0.717,11,35,46,20,9,6,19,22,29,48,0.6041666666666666,1
43,83,0.518,11,28,0.393,22,25,0.88,4,33,37,21,8,5,17,28,32,55,0.5818181818181818,0
41,83,0.494,9,31,0.29,32,39,0.821,7,32,39,24,5,7,14,23,32,52,0.6153846153846154,1
39,88,0.443,11,34,0.324,21,25,0.84,18,26,44,20,10,4,19,22,28,54,0.5185185185185185,0
39,77,0.506,12,34,0.353,21,25,0.84,6,25,31,23,12,3,19,21,27,43,0.627906976744186,1
44,81,0.543,11,26,0.423,13,16,0.813,10,37,47,30,5,13,19,15,33,55,0.6,1
31,83,0.373,13,37,0.351,13,15,0.867,9,25,34,16,10,6,19,22,18,46,0.391304347826087,0
31,81,0.383,11,39,0.282,26,26,1.0,8,34,42,17,10,2,19,22,20,42,0.47619047619047616,0
37,80,0.463,12,39,0.308,15,23,0.652,5,37,42,28,7,5,19,19,25,41,0.6097560975609756,1
52,103,0.505,17,40,0.425,9,10,0.9,15,33,48,31,8,3,8,22,35,63,0.5555555555555556,1
40,83,0.482,11,26,0.423,25,28,0.893,9,31,40,22,6,6,11,17,29,57,0.5087719298245614,0
33,86,0.384,8,27,0.296,25,31,0.806,12,29,41,22,11,7,18,17,25,59,0.423728813559322,0
50,98,0.51,16,36,0.444,14,18,0.778,18,42,60,34,6,10,19,20,34,62,0.5483870967741935,1
41,85,0.482,17,38,0.447,16,28,0.571,7,44,51,29,7,2,13,22,24,47,0.5106382978723404,1
39,92,0.424,11,41,0.268,13,17,0.765,10,37,47,22,2,4,16,25,28,51,0.5490196078431373,0
35,71,0.493,12,32,0.375,23,25,0.92,3,26,29,23,7,1,23,25,23,39,0.5897435897435898,0
41,81,0.506,12,29,0.414,20,29,0.69,9,28,37,24,10,2,16,21,29,52,0.5576923076923077,1
37,80,0.463,9,33,0.273,23,27,0.852,10,40,50,24,5,8,22,21,28,47,0.5957446808510638,1
37,98,0.378,13,47,0.277,17,21,0.81,13,31,44,27,12,8,15,25,24,51,0.47058823529411764,0
43,85,0.506,10,23,0.435,12,15,0.8,11,31,42,30,6,3,18,24,33,62,0.532258064516129,1
36,83,0.434,14,34,0.412,20,21,0.952,13,26,39,26,8,4,17,22,22,49,0.4489795918367347,0
42,80,0.525,15,33,0.455,14,19,0.737,3,41,44,26,6,5,16,25,27,47,0.574468085106383,1
42,88,0.477,12,31,0.387,10,18,0.556,6,29,35,23,7,2,13,17,30,57,0.5263157894736842,0
50,90,0.556,14,28,0.5,14,14,1.0,7,41,48,32,8,7,9,19,36,62,0.5806451612903226,1
30,83,0.361,8,34,0.235,18,22,0.818,7,32,39,18,4,3,13,15,22,49,0.4489795918367347,0
47,108,0.435,7,23,0.304,20,28,0.714,19,40,59,23,8,6,16,24,40,85,0.47058823529411764,0
47,103,0.456,9,36,0.25,21,25,0.84,12,38,50,28,12,8,13,23,38,67,0.5671641791044776,1
33,84,0.393,12,36,0.333,20,22,0.909,9,32,41,23,8,10,11,21,21,48,0.4375,1
32,86,0.372,14,42,0.333,16,23,0.696,13,37,50,22,3,6,15,21,18,44,0.4090909090909091,0
39,80,0.488,12,30,0.4,11,19,0.579,6,22,28,28,8,3,15,13,27,50,0.54,0
53,87,0.609,15,29,0.517,5,10,0.5,10,37,47,37,10,0,18,15,38,58,0.6551724137931034,1
36,84,0.429,12,35,0.343,10,16,0.625,9,29,38,22,6,3,16,18,24,49,0.4897959183673469,0
38,90,0.422,17,47,0.362,15,17,0.882,18,37,55,23,7,6,19,16,21,43,0.4883720930232558,1
40,84,0.476,16,38,0.421,21,31,0.677,12,21,33,27,10,0,23,18,24,46,0.5217391304347826,0
49,80,0.613,15,33,0.455,16,20,0.8,9,27,36,38,11,5,24,27,34,47,0.723404255319149,1
47,88,0.534,27,51,0.529,12,12,1.0,8,26,34,30,5,2,13,17,20,37,0.5405405405405406,1
46,90,0.511,11,27,0.407,15,16,0.938,12,32,44,22,6,4,14,14,35,63,0.5555555555555556,0
47,93,0.505,15,40,0.375,17,26,0.654,6,30,36,24,5,4,14,20,32,53,0.6037735849056604,1
50,92,0.543,4,23,0.174,19,20,0.95,7,41,48,27,8,4,18,26,46,69,0.6666666666666666,0
30,79,0.38,7,15,0.467,15,24,0.625,8,32,40,22,5,7,18,26,23,64,0.359375,0
35,82,0.427,11,30,0.367,21,28,0.75,11,33,44,22,7,14,14,22,24,52,0.46153846153846156,1
