fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,fg2,fga2,fg2_pct,result
41,90,0.456,10,29,0.345,15,20,0.75,13,31,44,23,5,4,12,18,31,61,0.508196721,0
48,91,0.527,14,34,0.412,9,12,0.75,9,33,42,29,9,6,12,15,34,57,0.596491228,1
42,95,0.442,11,33,0.333,13,17,0.765,17,43,60,23,5,7,19,22,31,62,0.5,1
36,101,0.356,10,43,0.233,22,28,0.786,18,31,49,19,11,6,11,23,26,58,0.448275862,0
44,94,0.468,17,43,0.395,9,10,0.9,9,29,38,25,10,6,10,23,27,51,0.529411765,1
42,84,0.5,9,27,0.333,20,26,0.769,13,37,50,30,6,6,18,16,33,57,0.578947368,0
45,82,0.549,19,39,0.487,15,18,0.833,5,38,43,30,6,4,16,19,26,43,0.604651163,1
39,94,0.415,12,42,0.286,14,18,0.778,13,29,42,26,10,3,13,16,27,52,0.519230769,0
39,93,0.419,5,29,0.172,27,33,0.818,12,30,42,24,12,1,12,19,34,64,0.53125,0
43,86,0.5,11,37,0.297,19,26,0.731,12,39,51,34,5,3,19,21,32,49,0.653061224,1
44,96,0.458,9,24,0.375,23,29,0.793,11,34,45,28,6,9,14,11,35,72,0.486111111,0
56,107,0.523,20,43,0.465,11,12,0.917,10,41,51,38,10,8,12,23,36,64,0.5625,1
44,93,0.473,10,32,0.313,13,17,0.765,15,25,40,20,10,4,18,20,34,61,0.557377049,0
47,90,0.522,16,34,0.471,13,16,0.813,14,31,45,36,11,7,18,20,31,56,0.553571429,1
40,85,0.471,14,32,0.438,17,22,0.773,11,41,52,22,8,5,21,21,26,53,0.490566038,1
38,91,0.418,12,43,0.279,16,20,0.8,8,29,37,23,8,7,13,19,26,48,0.541666667,0
41,92,0.446,11,32,0.344,9,15,0.6,17,39,56,28,3,13,17,23,30,60,0.5,0
37,92,0.402,8,22,0.364,21,26,0.808,16,32,48,22,11,3,7,18,29,70,0.414285714,1
37,77,0.481,12,39,0.308,22,26,0.846,7,39,46,18,6,11,13,22,25,38,0.657894737,1
36,97,0.371,18,41,0.439,14,26,0.538,17,30,47,24,9,0,11,22,18,56,0.321428571,0
32,79,0.405,12,34,0.353,10,16,0.625,7,24,31,19,6,3,19,24,20,45,0.444444444,0
42,87,0.483,9,34,0.265,23,26,0.885,17,40,57,19,8,6,16,20,33,53,0.622641509,1
47,99,0.475,15,47,0.319,17,23,0.739,13,35,48,24,6,3,12,20,32,52,0.615384615,1
46,89,0.517,11,35,0.314,16,22,0.727,9,36,45,33,8,5,19,23,35,54,0.648148148,0
34,100,0.34,8,31,0.258,18,22,0.818,16,46,62,20,8,9,14,14,26,69,0.376811594,0
36,90,0.4,14,35,0.4,11,16,0.688,8,39,47,27,9,11,14,18,22,55,0.4,1
47,102,0.461,19,51,0.373,17,20,0.85,15,30,45,29,6,8,12,25,28,51,0.549019608,1
41,91,0.451,9,28,0.321,23,31,0.742,16,38,54,22,6,2,14,20,32,63,0.507936508,0
34,81,0.42,9,31,0.29,18,23,0.783,10,39,49,16,7,3,24,21,25,50,0.5,0
36,84,0.429,5,29,0.172,23,29,0.793,8,34,42,24,14,7,16,23,31,55,0.563636364,1
41,80,0.513,16,35,0.457,19,28,0.679,4,35,39,25,8,4,15,28,25,45,0.555555556,0
41,81,0.506,11,30,0.367,25,36,0.694,8,35,43,20,9,4,14,23,30,51,0.588235294,1
43,90,0.478,20,44,0.455,20,28,0.714,12,33,45,30,9,6,16,21,23,46,0.5,1
42,87,0.483,12,32,0.375,24,30,0.8,9,35,44,28,7,6,14,20,30,55,0.545454545,0
38,89,0.427,16,33,0.485,19,23,0.826,11,34,45,24,8,6,12,16,22,56,0.392857143,0
45,95,0.474,16,39,0.41,13,19,0.684,16,39,55,20,7,6,15,19,29,56,0.517857143,1
39,84,0.464,9,36,0.25,16,25,0.64,8,45,53,25,5,2,23,29,30,48,0.625,0
37,99,0.374,8,39,0.205,22,28,0.786,15,37,52,18,10,5,17,22,29,60,0.483333333,1
40,88,0.455,10,30,0.333,21,25,0.84,12,41,53,28,7,6,24,29,30,58,0.517241379,1
33,88,0.375,7,28,0.25,26,34,0.765,11,30,41,20,13,7,18,23,26,60,0.433333333,0
40,87,0.46,13,26,0.5,15,19,0.789,6,41,47,22,8,10,18,17,27,61,0.442622951,1
